Animal;Session;correct.or.not.1;correct.or.not.2;delay;b1;b2
Charlie;1;c;n;3;fluff;repeat
Charlie;1;c;c;3;wings;repeat
Charlie;1;c;c;6;spin;repeat
Charlie;1;c;n;9;fluff;repeat
Charlie;1;c;c;6;spin;fluff
Charlie;1;c;n;6;leg;repeat
Charlie;1;c;c;3;wings;repeat
Charlie;1;c;c;6;leg;leg
Charlie;1;c;c;6;spin;wings
Charlie;1;c;n;6;leg;repeat
Charlie;1;c;c;3;spin;repeat
Charlie;1;c;c;6;fluff;wings
Charlie;1;c;n;6;leg;repeat
Charlie;1;c;n;3;fluff;repeat
Charlie;1;c;c;3;spin;repeat
Charlie;1;c;n;6;wings;repeat
MrHuang;1;c;c;3;fluff;repeat
MrHuang;1;c;c;6;wings;repeat
MrHuang;1;c;n;9;spin;repeat
MrHuang;1;c;n;6;fluff;repeat
MrHuang;1;c;c;3;spin;fluff
MrHuang;1;c;n;3;leg;repeat
MrHuang;1;c;c;3;wings;repeat
MrHuang;1;c;c;6;leg;leg
MrHuang;1;c;c;6;spin;wings
MrHuang;1;c;n;6;leg;repeat
MrHuang;1;c;c;3;spin;repeat
MrHuang;1;c;c;6;fluff;wings
MrHuang;1;c;c;6;leg;repeat
MrHuang;1;c;c;9;fluff;repeat
MrHuang;1;c;c;12;spin;repeat
MrHuang;1;c;n;15;wings;repeat
Charlie;2;c;c;3;leg;spin
Charlie;2;c;c;3;wings;repeat
Charlie;2;c;c;6;spin;repeat
Charlie;2;c;n;9;fluff;repeat
Charlie;2;c;c;6;leg;fluff
Charlie;2;c;n;6;wings;repeat
Charlie;2;c;n;3;fluff;repeat
Charlie;2;c;n;3;leg;repeat
Charlie;2;c;c;3;wings;fluff
Charlie;2;c;n;3;leg;repeat
Charlie;2;c;c;3;wings;repeat
Charlie;2;c;n;6;fluff;repeat
Charlie;2;c;c;3;spin;wings
Charlie;2;c;n;3;spin;repeat
Charlie;2;c;n;3;leg;repeat
Charlie;2;c;c;3;spin;repeat
MrHuang;2;c;c;3;leg;spin
MrHuang;2;c;c;3;wings;repeat
MrHuang;2;c;n;6;spin;repeat
MrHuang;2;c;n;3;fluff;repeat
MrHuang;2;c;c;3;leg;fluff
MrHuang;2;c;c;3;wings;repeat
MrHuang;2;c;n;6;fluff;repeat
MrHuang;2;c;c;3;leg;repeat
MrHuang;2;c;c;6;wings;fluff
MrHuang;2;c;c;6;leg;repeat
MrHuang;2;c;c;9;wings;repeat
MrHuang;2;c;n;12;fluff;repeat
MrHuang;2;c;c;9;spin;wings
MrHuang;2;c;n;9;spin;repeat
MrHuang;2;c;c;6;leg;repeat
MrHuang;2;c;n;9;spin;repeat
Charlie;3;c;n;3;leg;repeat
Charlie;3;c;n;3;fluff;repeat
Charlie;3;c;c;3;wings;wings
Charlie;3;c;c;3;spin;repeat
Charlie;3;c;n;6;fluff;repeat
Charlie;3;c;c;3;wings;repeat
Charlie;3;c;n;6;spin;repeat
Charlie;3;c;c;3;leg;fluff
Charlie;3;c;c;3;leg;repeat
Charlie;3;c;c;6;fluff;spin
Charlie;3;c;n;6;wings;repeat
Charlie;3;c;n;3;spin;repeat
Charlie;3;c;n;3;leg;repeat
Charlie;3;c;c;3;spin;leg
Charlie;3;c;c;3;fluff;repeat
Charlie;3;c;n;6;wings;repeat
MrHuang;3;c;c;3;leg;repeat
MrHuang;3;c;n;6;fluff;repeat
MrHuang;3;c;c;3;wings;wings
MrHuang;3;c;n;3;spin;repeat
MrHuang;3;c;n;3;fluff;repeat
MrHuang;3;c;c;3;wings;repeat
MrHuang;3;c;n;6;spin;repeat
MrHuang;3;c;c;3;leg;fluff
MrHuang;3;c;c;3;leg;repeat
MrHuang;3;c;c;6;fluff;spin
MrHuang;3;c;c;6;wings;repeat
MrHuang;3;c;n;9;spin;repeat
MrHuang;3;c;c;6;leg;repeat
MrHuang;3;c;c;9;spin;leg
MrHuang;3;c;n;9;fluff;repeat
MrHuang;3;c;c;6;wings;repeat
Charlie;4;c;n;3;spin;repeat
Charlie;4;c;c;3;wings;fluff
Charlie;4;c;n;3;fluff;repeat
Charlie;4;c;c;3;leg;repeat
Charlie;4;c;n;6;wings;repeat
Charlie;4;c;n;3;spin;repeat
Charlie;4;c;c;3;fluff;spin
Charlie;4;c;c;3;wings;repeat
Charlie;4;c;n;6;fluff;repeat
Charlie;4;c;c;3;wings;leg
Charlie;4;c;c;3;wings;repeat
Charlie;4;c;c;6;leg;repeat
Charlie;4;c;c;9;fluff;repeat
Charlie;4;c;c;12;leg;repeat
Charlie;4;c;n;15;spin;repeat
Charlie;4;c;c;12;spin;leg
MrHuang;4;c;n;3;spin;repeat
MrHuang;4;c;c;3;wings;fluff
MrHuang;4;c;c;3;fluff;repeat
MrHuang;4;c;c;6;leg;repeat
MrHuang;4;c;c;9;wings;repeat
MrHuang;4;c;n;12;spin;repeat
MrHuang;4;c;c;9;fluff;spin
MrHuang;4;c;c;9;wings;repeat
MrHuang;4;c;n;12;fluff;repeat
MrHuang;4;c;c;9;wings;leg
MrHuang;4;c;c;9;wings;repeat
MrHuang;4;c;n;12;leg;repeat
MrHuang;4;c;n;9;fluff;repeat
MrHuang;4;c;n;6;leg;repeat
MrHuang;4;c;n;3;spin;repeat
MrHuang;4;c;c;3;spin;leg
Charlie;5;c;c;3;leg;spin
Charlie;5;c;c;3;leg;repeat
Charlie;5;c;n;6;spin;repeat
Charlie;5;c;c;3;wings;repeat
Charlie;5;c;n;6;spin;repeat
Charlie;5;c;c;3;leg;repeat
Charlie;5;c;c;6;leg;fluff
Charlie;5;c;n;6;fluff;repeat
Charlie;5;c;c;3;wings;repeat
Charlie;5;c;c;6;wings;spin
Charlie;5;c;c;6;leg;repeat
Charlie;5;c;c;9;fluff;repeat
Charlie;5;c;c;12;fluff;wings
Charlie;5;c;c;12;fluff;repeat
Charlie;5;c;n;15;spin;repeat
Charlie;5;c;n;12;wings;repeat
MrHuang;5;c;c;3;leg;spin
MrHuang;5;c;c;3;leg;repeat
MrHuang;5;c;n;6;spin;repeat
MrHuang;5;c;c;3;wings;repeat
MrHuang;5;c;n;6;spin;repeat
MrHuang;5;c;c;3;leg;repeat
MrHuang;5;c;c;6;leg;fluff
MrHuang;5;c;n;6;fluff;repeat
MrHuang;5;c;c;3;wings;repeat
MrHuang;5;c;c;6;wings;spin
MrHuang;5;c;c;6;leg;repeat
MrHuang;5;c;c;9;fluff;repeat
MrHuang;5;c;c;12;fluff;wings
MrHuang;5;c;c;12;fluff;repeat
MrHuang;5;c;n;15;spin;repeat
MrHuang;5;c;n;12;wings;repeat
Charlie;6;c;c;3;fluff;repeat
Charlie;6;c;c;6;spin;repeat
Charlie;6;c;n;9;fluff;repeat
Charlie;6;c;n;6;leg;repeat
Charlie;6;c;c;3;wings;wings
Charlie;6;c;c;3;spin;repeat
Charlie;6;c;n;6;wings;repeat
Charlie;6;c;c;3;fluff;spin
Charlie;6;c;c;3;wings;repeat
Charlie;6;c;n;6;leg;repeat
Charlie;6;c;n;3;leg;repeat
Charlie;6;c;c;3;spin;repeat
Charlie;6;c;c;6;leg;fluff
Charlie;6;c;c;6;spin;leg
Charlie;6;c;n;6;fluff;repeat
Charlie;6;c;c;3;wings;repeat
MrHuang;6;c;n;3;fluff;repeat
MrHuang;6;c;n;3;spin;repeat
MrHuang;6;c;c;3;fluff;repeat
MrHuang;6;c;c;6;leg;repeat
MrHuang;6;c;c;9;wings;wings
MrHuang;6;c;c;9;spin;repeat
MrHuang;6;c;n;12;wings;repeat
MrHuang;6;c;c;9;fluff;spin
MrHuang;6;c;n;9;wings;repeat
MrHuang;6;c;c;6;leg;repeat
MrHuang;6;c;c;9;leg;repeat
MrHuang;6;c;c;12;spin;repeat
MrHuang;6;c;c;15;leg;fluff
MrHuang;6;c;c;15;spin;leg
MrHuang;6;c;n;15;fluff;repeat
MrHuang;6;c;c;12;wings;repeat
Charlie;7;c;c;3;fluff;repeat
Charlie;7;c;c;6;wings;repeat
Charlie;7;c;c;9;spin;repeat
Charlie;7;c;c;12;fluff;repeat
Charlie;7;c;c;15;spin;fluff
Charlie;7;c;n;15;leg;repeat
Charlie;7;c;n;12;wings;repeat
Charlie;7;c;c;9;leg;leg
Charlie;7;c;c;9;spin;wings
Charlie;7;c;n;9;leg;repeat
Charlie;7;c;c;6;spin;repeat
Charlie;7;c;c;9;fluff;wings
Charlie;7;c;c;9;leg;repeat
Charlie;7;c;n;12;fluff;repeat
Charlie;7;c;n;9;spin;repeat
Charlie;7;c;c;6;wings;repeat
MrHuang;7;c;n;3;fluff;repeat
MrHuang;7;c;c;3;wings;repeat
MrHuang;7;c;n;6;spin;repeat
MrHuang;7;c;n;3;fluff;repeat
MrHuang;7;c;c;3;spin;fluff
MrHuang;7;c;c;3;leg;repeat
MrHuang;7;c;n;6;wings;repeat
MrHuang;7;c;c;3;leg;leg
MrHuang;7;c;c;3;spin;wings
MrHuang;7;c;n;3;leg;repeat
MrHuang;7;c;c;3;spin;repeat
MrHuang;7;c;c;6;fluff;wings
MrHuang;7;c;c;6;leg;repeat
MrHuang;7;c;c;9;fluff;repeat
MrHuang;7;c;n;12;spin;repeat
MrHuang;7;c;n;9;wings;repeat
Charlie;8;c;c;3;leg;spin
Charlie;8;c;c;3;wings;repeat
Charlie;8;c;n;6;spin;repeat
Charlie;8;c;c;3;fluff;repeat
Charlie;8;c;c;6;leg;fluff
Charlie;8;c;c;6;wings;repeat
Charlie;8;c;c;9;fluff;repeat
Charlie;8;c;n;12;leg;repeat
Charlie;8;c;c;9;wings;fluff
Charlie;8;c;c;9;leg;repeat
Charlie;8;c;c;12;wings;repeat
Charlie;8;c;n;15;fluff;repeat
Charlie;8;c;c;12;spin;wings
Charlie;8;c;c;12;spin;repeat
Charlie;8;c;n;15;leg;repeat
Charlie;8;c;c;12;spin;repeat
MrHuang;8;c;c;3;leg;spin
MrHuang;8;c;n;3;wings;repeat
MrHuang;8;c;c;3;spin;repeat
MrHuang;8;c;c;6;fluff;repeat
MrHuang;8;c;c;9;leg;fluff
MrHuang;8;c;n;9;wings;repeat
MrHuang;8;c;n;6;fluff;repeat
MrHuang;8;c;n;3;leg;repeat
MrHuang;8;c;c;3;wings;fluff
MrHuang;8;c;n;3;leg;repeat
MrHuang;8;c;c;3;wings;repeat
MrHuang;8;c;n;6;fluff;repeat
MrHuang;8;c;c;3;spin;wings
MrHuang;8;c;c;3;spin;repeat
MrHuang;8;c;c;6;leg;repeat
MrHuang;8;c;c;9;spin;repeat
MrHuang;9;c;c;3;leg;repeat
MrHuang;9;c;c;6;fluff;repeat
MrHuang;9;c;c;9;wings;wings
MrHuang;9;c;n;9;spin;repeat
MrHuang;9;c;c;6;fluff;repeat
MrHuang;9;c;n;9;wings;repeat
MrHuang;9;c;n;6;spin;repeat
MrHuang;9;c;c;3;leg;fluff
MrHuang;9;c;c;3;leg;repeat
MrHuang;9;c;c;6;fluff;spin
MrHuang;9;c;n;6;wings;repeat
MrHuang;9;c;c;3;spin;repeat
MrHuang;9;c;n;6;leg;repeat
MrHuang;9;c;c;3;spin;leg
MrHuang;9;c;c;3;fluff;repeat
MrHuang;9;c;c;6;wings;repeat
Charlie;9;c;n;3;leg;repeat
Charlie;9;c;n;3;fluff;repeat
Charlie;9;c;c;3;wings;wings
Charlie;9;c;c;3;spin;repeat
Charlie;9;c;c;6;fluff;repeat
Charlie;9;c;n;9;wings;repeat
Charlie;9;c;n;6;spin;repeat
Charlie;9;c;c;3;leg;fluff
Charlie;9;c;n;3;leg;repeat
Charlie;9;c;c;3;fluff;spin
Charlie;9;c;n;3;wings;repeat
Charlie;9;c;c;3;spin;repeat
Charlie;9;c;c;6;leg;repeat
Charlie;9;c;c;9;spin;leg
